Base Position,Average Quality Score
1,31.7693224
2,32.1227424
3,32.2890816
4,35.9133136
5,35.9190328
6,35.7586424
7,35.7350936
8,35.7199776
9,37.4099024
10,37.4489592
11,37.4259664
12,37.3661312
13,37.275872
14,38.5059648
15,38.4987968
16,38.4790664
17,38.4280552
18,38.4510304
19,38.439936
20,38.3947584
21,38.3744152
22,38.3957424
23,38.3365352
24,38.2217208
25,36.7985504
26,36.3644536
27,36.1416704
28,35.9418008
29,35.8274896
30,35.7155144
31,35.7985856
32,35.7939576
33,35.7157552
34,35.6864144
35,35.5796728
36,35.5587424
37,35.4613608
38,35.4056488
39,35.3255696
40,35.252616
41,35.0960504
42,35.031824
43,34.91264
44,34.838656
45,34.7978464
46,34.7197488
47,34.6050592
48,34.4897432
49,34.3216552
50,34.3266792
51,34.2149392
52,34.097072
53,34.0065528
54,33.891272
55,33.683996
56,33.5829888
57,33.4419728
58,33.2919736
59,33.2012376
60,33.0629416
61,32.9391552
62,32.782804
63,32.6562472
64,32.573384
65,32.393228
66,32.2398184
67,32.0938104
68,31.8812048
69,31.6814312
70,31.5172056
71,31.3831816
72,31.245036
73,31.0378464
74,30.8249816
75,30.6786288
76,30.501872
77,30.3726072
78,30.1790864
79,30.0466368
80,29.862708
81,29.6542488
82,29.511704
83,29.5922992
84,29.5558528
85,29.4451152
86,29.3725808
87,29.1748536
88,29.1068712
89,28.9969488
90,28.8734368
91,28.7293536
92,28.5843416
93,28.5015304
94,28.3671024
95,28.2241536
96,28.0483144
97,27.9142808
98,27.7121256
99,27.6085256
100,27.4548424
